id,category,question,answer
48,Deep Learning,What is backpropagation?,Backpropagation computes gradients of a loss with respect to model parameters by applying the chain rule backward through a neural network.
49,Deep Learning,What is gradient descent?,Gradient descent updates model parameters in a direction that reduces the training loss.
50,Deep Learning,What is epoch?,An epoch is one complete pass through the training dataset during model training.
51,Deep Learning,What is batch size?,Batch size is the number of training examples processed before a model update is performed.
52,Deep Learning,What is learning rate?,Learning rate controls the size of parameter updates made by an optimization algorithm.
53,Deep Learning,What is convolutional neural network?,A Convolutional Neural Network (CNN) uses convolution operations to learn spatial features and is widely used for image and video tasks.
54,Deep Learning,What is recurrent neural network?,A Recurrent Neural Network (RNN) processes sequential data while maintaining information from previous steps through recurrent connections.
55,Deep Learning,What is LSTM?,Long Short-Term Memory (LSTM) is an RNN architecture designed to retain useful information over longer sequences using gated memory cells.
56,Deep Learning,What is dropout?,Dropout is a regularization technique that randomly disables a fraction of neural-network units during training to reduce overfitting.
57,Deep Learning,What is batch normalization?,Batch normalization normalizes intermediate neural-network activations using statistics from mini-batches and can make training more stable.
58,Deep Learning,What is transfer learning?,Transfer learning reuses knowledge learned by a model on one task or dataset as a starting point for another related task.
59,Deep Learning,What is an embedding in deep learning?,"An embedding is a dense numerical representation of an object such as a word, sentence, image, or item that captures useful relationships."
60,Deep Learning,What is a loss function?,A loss function measures the difference between a model's prediction and the desired target and provides a signal for training.
61,Python,What is Python?,"Python is a high-level, general-purpose programming language known for readable syntax and a large ecosystem of libraries."
62,Python,What is a Python list?,"A Python list is an ordered, mutable collection that can store multiple values, including values of different types."
63,Python,What is a Python tuple?,"A Python tuple is an ordered, immutable collection of values."
64,Python,What is a Python dictionary?,A Python dictionary stores key-value pairs and provides efficient lookup by key.
65,Python,What is a Python set?,A Python set is an unordered collection of unique elements.
66,Python,What is a function in Python?,"A function is a reusable block of code that can accept inputs, perform operations, and optionally return a result."
67,Python,What is a lambda function?,"A lambda is a small anonymous function written as a single expression, often used for short operations."
68,Python,What is list comprehension?,"List comprehension is a concise Python syntax for creating a list by applying an expression to items from an iterable, optionally with a condition."
69,Python,What is a module in Python?,"A module is a Python file containing code such as functions, classes, and variables that can be imported into another program."
70,Python,What is a package in Python?,A Python package is a structured collection of modules that can be imported as a unit.
71,Python,What is exception handling?,"Exception handling lets a Python program detect and manage runtime errors using constructs such as try, except, else, and finally."
72,Python,What is object oriented programming?,"Object-oriented programming organizes software around objects that combine data and behavior, commonly using classes and methods."
73,Python,What is a class in Python?,A class is a blueprint for creating objects and defining their attributes and methods.
74,Python,What is inheritance in Python?,Inheritance allows a class to reuse or extend attributes and methods from another class.
75,Python,What is a virtual environment?,A Python virtual environment is an isolated environment for installing project-specific Python packages without affecting other projects.
76,Python,What is pip?,pip is the standard Python package installer used to install and manage packages from Python package indexes.
77,Python,What is NumPy?,"NumPy is a Python library for efficient numerical computing, especially arrays and vectorized mathematical operations."
78,Python,What is Pandas?,Pandas is a Python library for data manipulation and analysis using structures such as Series and DataFrame.
79,Python,What is a DataFrame?,A DataFrame is a two-dimensional labeled data structure in Pandas with rows and columns.
80,Python,What is a Python iterator?,"An iterator is an object that produces values one at a time through the iterator protocol, typically using __iter__ and __next__."
81,Data Science,What is Data Science?,"Data Science combines statistics, programming, domain knowledge, and machine learning to extract useful insights and build data-driven solutions."
82,Data Science,What is data cleaning?,"Data cleaning identifies and fixes issues such as missing values, duplicates, inconsistent formats, and invalid records."
83,Data Science,What is exploratory data analysis?,"Exploratory Data Analysis (EDA) uses summaries and visualizations to understand distributions, relationships, outliers, and data quality."
84,Data Science,What is data preprocessing?,Data preprocessing transforms raw data into a suitable form for analysis or machine learning.
85,Data Science,What is a feature?,A feature is an input variable or measurable characteristic used by an analytical or machine learning model.
86,Data Science,What is a target variable?,A target variable is the outcome a supervised machine learning model is trained to predict.
87,Data Science,What is missing data?,Missing data occurs when one or more expected values are absent from a dataset.
88,Data Science,What is an outlier?,An outlier is an observation that is unusually far from the general pattern of the data.
89,Data Science,What is data visualization?,"Data visualization represents information graphically to make patterns, comparisons, trends, and anomalies easier to understand."
90,Data Science,What is a dashboard?,"A dashboard is an interactive collection of charts, tables, and indicators designed to monitor and communicate important information."
91,Data Science,What is ETL?,"ETL stands for Extract, Transform, Load and describes a process of extracting data, transforming it, and loading it into a destination system."
92,Data Science,What is a data pipeline?,A data pipeline is a sequence of automated steps that moves and transforms data from sources to destinations.
93,Data Science,What is sampling?,Sampling selects a subset of observations from a larger population for analysis.
94,Data Science,What is normalization?,Normalization commonly refers to transforming numerical values to a comparable scale; the exact formula depends on the chosen technique.
95,Data Science,What is one hot encoding?,"One-hot encoding represents categorical values as binary indicator columns, with one column typically corresponding to each category."
96,Data Science,What is label encoding?,Label encoding maps categorical values to integer labels.
97,Data Science,What is train test split?,A train-test split divides a dataset into training data for learning and test data for evaluating performance on unseen examples.
98,Data Science,What is data imputation?,"Data imputation replaces missing values using a defined method such as a mean, median, mode, or model-based estimate."
99,Data Science,What is correlation?,Correlation measures the strength and direction of association between two variables.
100,Data Science,What is a data analyst?,"A data analyst prepares, analyzes, visualizes, and communicates data to help answer business or operational questions."
101,Statistics,What is mean?,"The mean is the arithmetic average, calculated by adding all observations and dividing by the number of observations."
102,Statistics,What is median?,"The median is the middle value after data is arranged in order; for an even number of observations, it is commonly the average of the two middle values."
103,Statistics,What is mode?,The mode is the value or category that occurs most frequently in a dataset.
104,Statistics,What is variance?,Variance measures the average squared deviation of observations from their mean.
105,Statistics,What is standard deviation?,Standard deviation is the square root of variance and describes the typical spread of observations around the mean.
106,Statistics,What is range?,Range is the difference between the maximum and minimum values in a dataset.
107,Statistics,What is interquartile range?,The interquartile range (IQR) is the difference between the third quartile and first quartile and describes the spread of the middle 50 percent of data.
108,Statistics,What is percentile?,A percentile indicates the value below which a specified percentage of observations fall.
109,Statistics,What is probability?,Probability is a numerical measure between zero and one that represents how likely an event is under a specified model or experiment.
110,Statistics,What is conditional probability?,Conditional probability measures the probability of an event given that another event or condition is known.
111,Statistics,What is Bayes theorem?,Bayes' theorem relates conditional probabilities and can be used to update the probability of a hypothesis after observing evidence.
112,Statistics,What is hypothesis testing?,Hypothesis testing uses sample data to evaluate evidence about a population claim or hypothesis.
113,Statistics,What is null hypothesis?,"The null hypothesis is the baseline claim tested in a statistical hypothesis test, often representing no effect or no difference."
114,Statistics,What is p value?,A p-value measures how unusual the observed data would be if the null hypothesis were true under the assumptions of the test.
115,Statistics,What is confidence interval?,A confidence interval is an interval-estimation method that provides a range of plausible values for a population parameter under a specified confidence procedure.
116,Statistics,What is normal distribution?,A normal distribution is a continuous probability distribution characterized by a symmetric bell-shaped curve determined by its mean and standard deviation.
117,Statistics,What is skewness?,Skewness describes asymmetry in a probability distribution or dataset relative to its center.
118,Statistics,What is covariance?,"Covariance indicates how two variables vary together, with positive values generally indicating they increase together and negative values indicating opposite movement."
119,Statistics,What is population and sample?,"A population is the full group of interest, while a sample is a subset selected from that population for analysis."
120,Statistics,What is descriptive statistics?,"Descriptive statistics summarize observed data using measures such as mean, median, spread, counts, and visualizations."
121,NLP,What is NLP?,"Natural Language Processing (NLP) is the area of AI that enables computers to process, understand, analyze, and generate human language."
122,NLP,What is tokenization?,"Tokenization splits text into smaller units such as words, subwords, or tokens for further processing."
123,NLP,What is stemming?,Stemming reduces words to a crude root-like form by removing or modifying word endings according to simple rules.
124,NLP,What is lemmatization?,Lemmatization reduces a word to its dictionary base form using linguistic information.
125,NLP,What is stop word removal?,Stop word removal filters out selected common words that may contribute little to a particular NLP task.
126,NLP,What is TF-IDF?,"TF-IDF represents a term using its frequency in a document and its inverse frequency across documents, giving higher weight to terms that are distinctive."
127,NLP,What is word embedding?,A word embedding represents words as dense numerical vectors so that semantic and syntactic relationships can be modeled.
128,NLP,What is sentence embedding?,A sentence embedding represents an entire sentence or text passage as a dense vector intended to capture its meaning.
129,NLP,What is bag of words?,Bag of Words represents text using counts or presence of words while ignoring word order.
130,NLP,What is cosine similarity?,Cosine similarity measures the angle-based similarity between two vectors and is commonly used to compare text embeddings.
131,NLP,What is sentiment analysis?,"Sentiment analysis classifies or scores text according to expressed sentiment such as positive, negative, or neutral."
132,NLP,What is named entity recognition?,"Named Entity Recognition (NER) identifies entities such as people, organizations, locations, dates, and other predefined types in text."
133,NLP,What is text classification?,Text classification assigns text to one or more predefined categories based on its content.
134,NLP,What is question answering?,Question answering is an NLP task in which a system produces an answer to a natural-language question using available information.
135,NLP,What is semantic search?,Semantic search retrieves content based on meaning rather than relying only on exact keyword matches.
136,NLP,What is a transformer?,A Transformer is a neural-network architecture based on attention mechanisms and is widely used for language and multimodal tasks.
137,NLP,What is attention?,Attention allows a model to assign different importance to input elements when producing a representation or prediction.
138,NLP,What is BERT?,BERT is a Transformer-based language model trained to learn contextual representations of text and widely used for NLP tasks.
139,NLP,What is text preprocessing?,"Text preprocessing prepares raw text for an NLP task using operations such as normalization, tokenization, and optional filtering."
140,NLP,What is semantic similarity?,"Semantic similarity estimates how close two pieces of text are in meaning, often using embeddings and a similarity metric."
141,Computer Vision,What is Computer Vision?,Computer vision enables computers to extract useful information from images and videos using image processing and machine learning techniques.
142,Computer Vision,What is image classification?,Image classification assigns an image to one or more predefined categories.
143,Computer Vision,What is object detection?,Object detection identifies objects in an image and usually predicts a class and bounding box for each detected object.
144,Computer Vision,What is image segmentation?,Image segmentation assigns labels to pixels or regions so that objects or semantic areas can be separated.
145,Computer Vision,What is semantic segmentation?,Semantic segmentation assigns a class label to each pixel without distinguishing between separate objects of the same class.
146,Computer Vision,What is instance segmentation?,Instance segmentation identifies individual object instances and assigns pixels to each instance.
147,Computer Vision,What is OpenCV?,"OpenCV is an open-source computer vision library used for image processing, video processing, feature extraction, and related tasks."
148,Computer Vision,What is image preprocessing?,"Image preprocessing prepares images for analysis or model input through operations such as resizing, normalization, cropping, or augmentation."
149,Computer Vision,What is image augmentation?,"Image augmentation creates varied training examples by applying transformations such as rotation, flipping, cropping, or scaling."
150,Computer Vision,What is convolution?,Convolution applies a small learnable filter across an input to detect local patterns such as edges and textures.
151,Computer Vision,What is pooling?,"Pooling reduces the spatial dimensions of feature maps while retaining useful information, often using maximum or average operations."
152,Computer Vision,What is a CNN?,A Convolutional Neural Network (CNN) is a neural-network architecture that learns spatial patterns using convolutional layers.
153,Computer Vision,What is transfer learning in computer vision?,Transfer learning in computer vision reuses a model trained on a large image dataset as a starting point for a related vision task.
154,Computer Vision,What is face detection?,"Face detection locates regions in an image that contain faces, typically using a trained detector."
155,Computer Vision,What is face recognition?,Face recognition compares facial representations to identify or verify a person's identity.
156,Computer Vision,What is image resizing?,Image resizing changes an image's width and height to meet processing or model-input requirements.
157,Computer Vision,What is pixel?,A pixel is a small individual element of a digital image that stores intensity or color information.
158,Computer Vision,What is RGB?,"RGB is a color representation using red, green, and blue channels."
159,Computer Vision,What is grayscale image?,A grayscale image represents intensity using shades from dark to light rather than separate color channels.
160,Computer Vision,What is IoU?,Intersection over Union (IoU) measures overlap between a predicted region and a ground-truth region by dividing their intersection area by their union area.
161,SQL,What is SQL?,"SQL, or Structured Query Language, is used to create, query, update, and manage data in relational database systems."
162,SQL,What is SELECT?,SELECT retrieves data from one or more tables or query results.
163,SQL,What is WHERE?,WHERE filters rows according to a specified condition before the result is returned.
164,SQL,What is GROUP BY?,GROUP BY groups rows with the same values in selected columns so aggregate calculations can be performed for each group.
165,SQL,What is HAVING?,"HAVING filters groups produced by GROUP BY, commonly using aggregate conditions."
166,SQL,What is ORDER BY?,ORDER BY sorts query results according to one or more columns.
167,SQL,What is JOIN?,A JOIN combines rows from related tables using a specified relationship or matching condition.
168,SQL,What is INNER JOIN?,INNER JOIN returns rows where the join condition matches in both joined tables.
169,SQL,What is LEFT JOIN?,"LEFT JOIN returns all rows from the left table and matching rows from the right table, using nulls when no match exists."
170,SQL,What is primary key?,A primary key uniquely identifies each row in a relational table and cannot contain duplicate key values.
171,SQL,What is foreign key?,A foreign key is a column or set of columns that references a key in another table to represent a relationship.
172,SQL,What is database index?,"A database index is a data structure that can speed up lookups and sorting for selected columns, at the cost of storage and write overhead."
173,SQL,What is normalization in databases?,Database normalization organizes relational data to reduce unnecessary duplication and improve consistency.
174,SQL,What is INSERT?,INSERT adds new rows to a database table.
175,SQL,What is UPDATE?,UPDATE modifies existing rows that satisfy a specified condition.
176,SQL,What is DELETE?,DELETE removes rows that satisfy a specified condition.
177,SQL,What is DISTINCT?,DISTINCT removes duplicate rows from the selected result values.
178,SQL,What is aggregate function?,"An aggregate function calculates a summary value over multiple rows, such as COUNT, SUM, AVG, MIN, or MAX."
179,SQL,What is a SQL view?,A view is a stored query definition that presents data as a virtual table.
180,SQL,What is a subquery?,A subquery is a query nested inside another SQL query and can provide intermediate results to the outer query.
181,Generative AI,What is Generative AI?,"Generative AI refers to AI systems that can create new content such as text, images, audio, video, or code based on learned patterns."
182,Generative AI,What is a large language model?,A large language model (LLM) is a neural language model trained on large amounts of text to understand and generate language.
183,Generative AI,What is a prompt?,A prompt is an instruction or input provided to an AI model to guide the content or behavior of its response.
184,Generative AI,What is prompt engineering?,Prompt engineering is the practice of designing and refining instructions and context to obtain more useful and reliable model outputs.
185,Generative AI,What is RAG?,Retrieval-Augmented Generation (RAG) combines information retrieval with generation so a language model can use relevant external knowledge when producing an answer.
186,Generative AI,What is an embedding model?,An embedding model converts content such as text into numerical vectors that capture useful semantic relationships.
187,Generative AI,What is a vector database?,"A vector database stores and searches numerical embeddings, often supporting similarity search over text, images, or other data."
188,Generative AI,What is hallucination in AI?,"An AI hallucination is a generated statement that may sound plausible but is unsupported, incorrect, or inconsistent with the available evidence."
189,Generative AI,What is temperature in text generation?,Temperature is a generation setting that influences the randomness of token selection; higher values generally produce more varied outputs.
190,Generative AI,What is context window?,A context window is the amount of input and output token context a model can consider within a request.
191,Generative AI,What is fine tuning?,Fine-tuning adapts a pretrained model by continuing training on a task-specific or domain-specific dataset.
192,Generative AI,What is zero shot learning?,Zero-shot learning performs a task without task-specific examples being provided in the prompt or training setup for that task.
193,Generative AI,What is few shot prompting?,Few-shot prompting provides a small number of examples in the prompt to demonstrate the desired task or output pattern.
194,Generative AI,What is an AI chatbot?,An AI chatbot is a conversational application that uses AI techniques to interpret user messages and generate or retrieve responses.
195,Generative AI,What is grounding?,Grounding connects an AI response to trusted external information or evidence so that answers are based on specific available sources.
196,Generative AI,What is retrieval?,"Retrieval is the process of finding relevant documents, passages, or records from a knowledge source for a user query."
197,Generative AI,What is semantic retrieval?,Semantic retrieval finds information using vector representations and meaning-based similarity rather than only exact word matching.
198,Generative AI,What is cosine similarity in RAG?,Cosine similarity can compare query and document embeddings to rank knowledge-base items by semantic closeness.
199,Generative AI,What is an AI evaluation dataset?,An AI evaluation dataset is a collection of representative test inputs and expected behavior or answers used to measure system quality.
200,Generative AI,What is responsible generative AI?,"Responsible generative AI emphasizes safe, reliable, transparent, privacy-aware, and appropriate use of generative models."
